Nmarché;SIRETMandataire;LibelleEntiteMandataire;SIRETAcheteur;LibelleAcheteur;Nature;Objet;CodeCPV;Type ;Procedure;CodePostalCommuneExecution;NomCommuneExecution;CodeINSEEExecution;GranulariteINSEEExecution;MillesimeMandatement;DateNotification;Montant mandate TTC;Montant mandate HT;Montant attribue TTC;Montant attribue HT;Date de cloture;Duree;SIRETContractant;DenominationSociale;Role;CodePostal;Dpt ID ;Département;Commune;Taille;Taille des entreprises par categorie officielle;Code NAF;Libelle NAF;Libelle SBA;Libelle CCI;geolocalisation
2015-90047;;Région Bretagne;;;;Contrat d'accès à la qualification (C.A.Q.) concernant les stagiaires des formations du Dispositif Régional d'Insertion Professtionnel (DRIP) du Groupement solidaire  AREP 22 / LOCMINE;;Services;Marché negocié;;;;;2015;2015-01-15;0;;0;;;;307390708;LOCMINE FORMATION;Sous-traitant;56500;56;Morbihan;MOREAC;10 à 19;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;47.9163628401, -2.81404432498
2015-90053;;Région Bretagne;;;;Contrat d'accès à la qualification (C.A.Q.) concernant les stagiaires des formations du Dispositif Régional d'Insertion Professtionnel (DRIP) du Groupement solidaire Initiatives Formation / Agora Services;;Services;Marché negocié;;;;;2015;2015-01-15;0;;0;;;;326298346;INITIATIVES FORMATION;Titulaire;29590;29;Finistère;PONT DE BUIS;20 à 49;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;48.2799947077, -4.10763494114
2015-90048;;Région Bretagne;;;;Contrat d'accès à la qualification (C.A.Q.) concernant les stagiaires des formations du Dispositif Régional d'Insertion Professtionnel (DRIP) du Groupement solidaire  AREP St-Malo / Ass JB Le Taillandier;;Services;Marché negocié;;;;;2015;2015-01-16;0;;0;;;;382114668;AREP DE SAINT MALO;Titulaire;35400;35;Ille-et-Vilaine;ST MALO;50 à 99;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;48.6399039698, -1.9807980796
2015-90176;;Région Bretagne;;;;Mission d'aide à la coopération Bretagne-Shandong;;Services;MAPA - art 28;;;;;2015;2015-03-24;0;;0;;;;Non disponible;AWARENESS;Titulaire;99999;99;Hors Bretagne;BRUXELLES;Non disponible;Non disponible;7022;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;
2015-90136;;Région Bretagne;;;;Traduction en langue bretonne;;Services;Achat direct;;;;;2015;2015-03-31;1006;;1006;;;;200026391;EPCC OFIS PUBLIK AR BREZHONEG OFFICE PUBLIC DE LA LANGUE BRETONNE;Titulaire;29270;29;Finistère;CARHAIX PLOUGUER;20 à 49;PME;8412;ADMINISTRATION PUBLIQUE;Administration publique/enseignement;Tertiaire non marchand;48.2542377474, -3.60710668308
2013-90025;;Région Bretagne;;;;Contrat d'Accès à la Qualification;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-10-01;0;;6000;;;;192200582;GRETA DES COTES D ARMOR;Sous-traitant;22000;22;Côtes d'Armor;SAINT  BRIEUC;50 à 99;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;48.5146037386, -2.76180979127
2013-90036;;Région Bretagne;;;;Menuiserie - Charpente - Aménagement intérieur;;Travaux;MAPA - art 28;;;;;2013;2013-01-14;130044;;130044;;;;501609614;ECO ARTISANS DE L YVEL;Titulaire;56430;56;Morbihan;MAURON;Non disponible;Non disponible;4120;CONSTRUCTION;Construction;Construction;48.0681408397, -2.31392904307
2015-90145;;Région Bretagne;;;;OBJETS PROMOTIONNELS : ACQUISITION DE CARTABLES STYLE BESACE POUR LES KITS STAGIAIRES;;Fournitures;MAPA - art 28;;;;;2015;2015-03-30;0;;0;;;;750477663;OBG PUBLICITAIRE;Titulaire;78360;78;Hors Bretagne;MONTESSON;Non disponible;Non disponible;4649;"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";Industries;Industries;48.9173237175, 2.13949842115
2013-90154;;Région Bretagne;;;;Dispositif de formations : Compétences clés 2013 - Lot 11;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-01-01;106641;;106641;;;;193500303;GRETA EST BRETAGNE;Titulaire;35069;35;Ille-et-Vilaine;RENNES CEDEX;100 à 199;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;
2013-90003;;Région Bretagne;;;;PBF Formation qualifiante 2013 Palefrenier soigneur  lot 1;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-10-01;124160;;124160;;;;192204709;CFPPA DE KERNILIEN PLOUISY;Titulaire;22200;22;Côtes d'Armor;GUINGAMP;20 à 49;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;48.5849264415, -3.14728309077
2013-90157;;Région Bretagne;;;;Dispositif de formations : Compétences clés 2013 - Lot 14;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-01-01;40267;;40267;;;;420826208;"AREP ""LA TOUCHE"" PLOERMEL";Titulaire;56800;56;Morbihan;PLOERMEL;10 à 19;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;47.9419730138, -2.35837892185
2013-90112;;Région Bretagne;;;;Diagnostic et récolement des réseaux EU et EP;;Services;MAPA - art 28;;;;;2013;2013-03-15;0;;24214;;;;542021829;SAFEGE;Co-traitant;35761;35;Ille-et-Vilaine;ST GREGOIRE;500 à 999;ETI;7112;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;
2013-90026;;Région Bretagne;;;;Contrat d'Accès à la Qualification;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-10-01;20686;;20686;;;;192900710;GRETA BRETAGNE OCCIDENTALE;Titulaire;29104;29;Finistère;PLUGUFFAN;100 à 199;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;
2013-90220;;Région Bretagne;;;;Nettoyage des locaux et de la vitrerie des bâtiments de la Région Bretagne - lot n°2 Secteur géographique hors Rennes;;Services;Appel d'offres;;;;;2013;2013-03-06;282996;;282996;;;;678004250;ONET SERVICES;Titulaire;13009;13;Hors Bretagne;Non disponible;10 000 et plus;Grande entreprise;8121;ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN;Services;Tertiaire marchand;43.2344717573, 5.45254070973
2013-90179;;Région Bretagne;;;;Marché d'assistance à MO pour la réalisation des travaux de mise en conformité des ascenseurs divers lycées;;Services;MAPA - art 28;;;;;2013;2013-05-14;46665;;46665;;;;500286638;ACCEO;Titulaire;35760;35;Ille-et-Vilaine;ST GREGOIRE;50 à 99;PME;7112;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.1574437046, -1.69175560497
2013-90272;;Région Bretagne;;;;PRS 2013-2014 Lot n°7 Technico-commercial-e;;Services;Appel d'offres;;;;;2013;2013-06-08;0;;83887;;;;321591646;CLPS L ENJEU COMPETENCES;Sous-traitant;35651;35;Ille-et-Vilaine;LE RHEU;250 à 499;ETI;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;
2013-90411;;Région Bretagne;;;;Rénovation du service de restauration en vue de l'accueil des effectifs sur le bassin rennais;;Services;MAPA - art 28;;;;;2013;2013-09-14;28849;;28849;;;;349535617;CERUR;Mandataire;35204;35;Ille-et-Vilaine;RENNES CEDEX 2;10 à 19;PME;7320;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;
2013-90435;;Région Bretagne;;;;Accompagnement des services de restauration collective des lycées publics pour l’intégration de denrées alimentaires en circuits courts issues de l’agriculture biologique;;Services;MAPA - art 28;;;;;2013;2013-09-27;0;;90354;;;;401483821;AGROBIO 35;Co-traitant;35577;35;Ille-et-Vilaine;CESSON SEVIGNE;Non disponible;Non disponible;9412;AUTRES ACTIVITÉS DE SERVICES;Services;Tertiaire marchand;
2013-90440;;Région Bretagne;;;;Impression d'affiches pour la semaine de la solidarité internationale 2013;;Services;MAPA - art 28;;;;;2013;2013-08-10;493;;493;;;;305304784;PUBLITEX SERIGRAPHIE;Titulaire;29211;29;Finistère;Non disponible;20 à 49;PME;1812;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;
2013-90396;;Région Bretagne;;;;Prestations de conseil, assistance juridique et représentation en justice - droit de la commande publique;;Services;MAPA - art 30 - en dessous des seuils;;;;;2013;2013-10-29;0;;38894;;;;789789831;AVOXA 5;Titulaire;35108;35;Ille-et-Vilaine;RENNES;20 à 49;PME;6910;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;
2013-90465;;Région Bretagne;;;;IMPRESSION OFFSET ET FACONNAGE : AFFICHE ET FLYER ECOWATT;;Fournitures;MAPA - art 28;;;;;2013;2013-11-13;3012;;3012;;;;589104686;LE COLIBRI IMPRIMEUR;Titulaire;35510;35;Ille-et-Vilaine;CESSON SEVIGNE;10 à 19;PME;1812;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;48.1206278296, -1.59690492956
2013-90477;;Région Bretagne;;;;Espaces agents (rénovation des espaces agents - études préalables);;Services;MAPA - art 28;;;;;2013;2013-11-27;0;;65956;;;;433641560;FAC RESTAURATION;Co-traitant;44220;44;Hors Bretagne;COUERON;0;Sans salarié;7022;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;47.230492836, -1.73028941593
2015-90095;;Région Bretagne;;;;"Mission d'assistance technique pour l'éxécution du cadre expérimental ""économie circulaire""";;Services;Appel d'offres;;;;;2015;2015-02-19;0;;0;;;;399974286;SARL HIPPOCAMPE;Sous-traitant;29200;29;Finistère;BREST;Non disponible;Non disponible;7311;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.3998970513, -4.5026725313
2015-90150;;Région Bretagne;;;;Prestations de maintenance du socle de développements Simplicité;;Services;MAPA - art 28;;;;;2015;2015-02-25;11340;;11340;;;;490393519;SIMPLICITE SOFTWARE;Titulaire;94500;94;Hors Bretagne;CHAMPIGNY SUR MARNE;3 à 5 salariés;Microentreprise;5829;INFORMATION ET COMMUNICATION;Information et communication;Tertiaire marchand;48.8176869619, 2.51584557843
2015-90089;;Région Bretagne;;;;Mesures d'empoussièrement;;Services;MAPA - art 28;;;;;2015;2015-02-03;15049;;15049;;;;419671425;APAVE NORD OUEST SAS;Titulaire;35650;35;Ille-et-Vilaine;LE RHEU;Non disponible;Non disponible;7120;ACTIVITÉS SPÉCIALISÉES, SCIENTIFIQUES ET TECHNIQUES;Etudes, conseil;Tertiaire marchand;48.0975609665, -1.78120048308
2015-90105;;Région Bretagne;;;;Achat d'epace (stand) au salon Ecoterritoriales 2015à Vannes;;Services;Achat direct;;;;;2015;2015-12-03;40000;;40000;;;;414583039;CHORUS SA;Titulaire;56000;56;Morbihan;VANNES;10 à 19;PME;8230;ACTIVITÉS DE SERVICES ADMINISTRATIFS ET DE SOUTIEN;Services;Tertiaire marchand;47.6598173381, -2.75698478615
2015-90128;;Région Bretagne;;;;Impression sérigraphie : Affiches pour la fête de la Bretagne 2015;;Services;MAPA - art 28;;;;;2015;2015-03-19;6552;;6552;;;;305304784;PUBLITEX SERIGRAPHIE;Titulaire;29211;29;Finistère;Non disponible;20 à 49;PME;1812;INDUSTRIE MANUFACTURIÈRE;Industries;Industries;
2013-90033;;Région Bretagne;;;;Achat de denrées alimentaires issues de l'agriculture biologique et/ou du commerce équitable - Lot 1 : café, thé, sucre et produits connexes;;Fournitures;MAPA - art 28;;;;;2013;2013-07-01;21941;;21941;;;;510699770;A COM;Mandataire;35410;35;Ille-et-Vilaine;CHATEAUGIRON;0;Sans salarié;4638;"COMMERCE ; RÉPARATION D'AUTOMOBILES ET DE MOTOCYCLES";Industries;Industries;48.0490244352, -1.51988264041
2013-90005;;Région Bretagne;;;;PBF Formation qualifiante 2013 Animateur équestre  lot 3;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-10-01;143039;;143039;;;;384796090;LA FOUCHERAIE SARL;Titulaire;35190;35;Ille-et-Vilaine;CARDROC;1 ou 2;Microentreprise;8551;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;48.3291947532, -1.88500769745
2013-90003;;Région Bretagne;;;;PBF Formation qualifiante 2013 Palefrenier soigneur  lot 1;;Services;MAPA - art 30 - au dessus des seuils;;;;;2013;2013-10-01;0;;124160;;;;192903417;CFPPA KERLIVER HANVEC;Sous-traitant;29460;29;Finistère;HANVEC;50 à 99;PME;8559;ENSEIGNEMENT;Administration publique/enseignement;Tertiaire non marchand;48.3533859452, -4.19810642706
